12T/161k/60S/31W|ToughThought|https://i.imgur.com/31DS7Md.gifv|TCS
12T/169k/52S/42W|Community|https://cdn.discordapp.com/attachments/993498489717805076/1051285191349518386/20th_Century_Food_Court_-_HALF_CAFF_COFFEE_12_169_2022-12-10-23-51-07.gif|TSW,STC,SCW,SWT
12T/180k/54S/39W|notgreat/vpumeyyv|https://i.imgur.com/GStS7sm.gif|
12T/180k/55S/38W|vpumeyyv||
12T/181k/54S/36W|notgreat/vpumeyyv|https://i.imgur.com/6f3eeH9.gif|
12T/183k/60S/23W|ToughThought|https://i.imgur.com/I5j7ncO.gifv|
12T/195k/54S/34W|vpumeyyv||
12T/206k/60S/20W|ToughThought/vpumeyyv|https://i.imgur.com/p2Wu1Xq.gif|TWC
15T/136k/75S/28W|notgreat|https://cdn.discordapp.com/attachments/993498489717805076/1021270114399690783/20th_Century_Food_Court_-_HALF_CAFF_COFFEE_15_136_2022-09-18-21-02-31.gif|
16T/170k/80S/26W|vpumeyyv||
19T/171k/95S/18W|Ami|https://i.imgur.com/abQfkRX.gif|
20T/115k/87S/33W|vpumeyyv||
22T/120k/98S/32W|mr_puzzel||
23T/118k/103S/28W|mr_puzzel||
25T/134k/125S/26W|mr_puzzel||
28T/114k/92S/31W|vpumeyyv||
29T/109k/97S/25W|Tom3877/vpumeyyv|https://i.imgur.com/k5ReTFn.gif|
29T/110k/97S/24W|vpumeyyv||
29T/112k/96S/29W|Tom3877/vpumeyyv|https://i.imgur.com/dqoulDJ.mp4|
30T/159k/102S/16W|vpumeyyv/Hersmunch|https://cdn.discordapp.com/attachments/993498489717805076/1051284235052404887/20th_Century_Food_Court_-_HALF_CAFF_COFFEE_30_159_2022-12-10-23-44-27.gif|WTC,WCS,WST
33T/106k/117S/24W|Tom3877/vpumeyyv/Hersmunch|https://cdn.discordapp.com/attachments/993498489717805076/1033855493988421693/20th_Century_Food_Court_-_HALF_CAFF_COFFEE_33_106_2022-10-23-22-27-33.gif|CTS,CSW,CWT
